51 0 AP890908-0122  1 0.21424866 myalgo-run-1
51 0 AP890519-0240  2 0.18191251 myalgo-run-1
51 0 AP890813-0090  3 0.15986252 myalgo-run-1
51 0 AP890814-0205  4 0.15986252 myalgo-run-1
51 0 AP890926-0268  5 0.15986252 myalgo-run-1
51 0 AP890208-0175  6 0.156865 myalgo-run-1
51 0 AP890705-0014  7 0.15526326 myalgo-run-1
51 0 AP891215-0260  8 0.14717062 myalgo-run-1
51 0 AP891220-0038  9 0.13781251 myalgo-run-1
51 0 AP890310-0128  10 0.13445571 myalgo-run-1
51 0 AP890609-0258  11 0.1344216 myalgo-run-1
51 0 AP890316-0252  12 0.119516194 myalgo-run-1
51 0 AP890202-0114  13 0.11887343 myalgo-run-1
51 0 AP890405-0290  14 0.11887343 myalgo-run-1
51 0 AP890702-0065  15 0.11887343 myalgo-run-1
51 0 AP890920-0100  16 0.11887343 myalgo-run-1
51 0 AP891219-0186  17 0.11887343 myalgo-run-1
51 0 AP890503-0279  18 0.11644745 myalgo-run-1
51 0 AP890525-0247  19 0.11204643 myalgo-run-1
51 0 AP890721-0245  20 0.11037797 myalgo-run-1
51 0 AP890814-0080  21 0.11025001 myalgo-run-1
51 0 AP890721-0203  22 0.10893403 myalgo-run-1
51 0 AP890630-0056  23 0.10712433 myalgo-run-1
51 0 AP890226-0101  24 0.105744146 myalgo-run-1
51 0 AP890419-0230  25 0.10350884 myalgo-run-1
51 0 AP890724-0259  26 0.10350884 myalgo-run-1
51 0 AP890916-0034  27 0.10350884 myalgo-run-1
51 0 AP890424-0095  28 0.1016536 myalgo-run-1
51 0 AP890216-0288  29 0.101082854 myalgo-run-1
51 0 AP890223-0299  30 0.101082854 myalgo-run-1
51 0 AP890407-0267  31 0.101082854 myalgo-run-1
51 0 AP890608-0253  32 0.101082854 myalgo-run-1
51 0 AP891221-0061  33 0.100816205 myalgo-run-1
51 0 AP891127-0034  34 0.100164205 myalgo-run-1
51 0 AP890531-0109  35 0.099157944 myalgo-run-1
51 0 AP890506-0013  36 0.09859282 myalgo-run-1
51 0 AP890924-0091  37 0.0935542 myalgo-run-1
51 0 AP890626-0139  38 0.093372025 myalgo-run-1
51 0 AP891127-0003  39 0.09334834 myalgo-run-1
51 0 AP891228-0049  40 0.09334834 myalgo-run-1
51 0 AP891219-0249  41 0.091981634 myalgo-run-1
51 0 AP890216-0167  42 0.090570234 myalgo-run-1
51 0 AP890412-0286  43 0.090570234 myalgo-run-1
51 0 AP890428-0151  44 0.090570234 myalgo-run-1
51 0 AP890216-0272  45 0.089637145 myalgo-run-1
51 0 AP890308-0077  46 0.089637145 myalgo-run-1
51 0 AP890718-0266  47 0.089637145 myalgo-run-1
51 0 AP891121-0269  48 0.089637145 myalgo-run-1
51 0 AP890227-0124  49 0.089614406 myalgo-run-1
51 0 AP890102-0027  50 0.08903485 myalgo-run-1
51 0 AP890502-0303  51 0.08903485 myalgo-run-1
51 0 AP890119-0139  52 0.08820001 myalgo-run-1
51 0 AP890326-0080  53 0.08820001 myalgo-run-1
51 0 AP890606-0142  54 0.08820001 myalgo-run-1
51 0 AP890706-0148  55 0.08820001 myalgo-run-1
51 0 AP890707-0203  56 0.08820001 myalgo-run-1
51 0 AP890725-0201  57 0.08820001 myalgo-run-1
51 0 AP890802-0192  58 0.08820001 myalgo-run-1
51 0 AP891118-0172  59 0.088051125 myalgo-run-1
51 0 AP891223-0008  60 0.088051125 myalgo-run-1
51 0 AP890131-0136  61 0.08764368 myalgo-run-1
51 0 AP890420-0173  62 0.08733559 myalgo-run-1
51 0 AP890427-0190  63 0.08733559 myalgo-run-1
51 0 AP890910-0011  64 0.08733559 myalgo-run-1
51 0 AP890921-0010  65 0.08733559 myalgo-run-1
51 0 AP890928-0294  66 0.08733559 myalgo-run-1
51 0 AP891007-0006  67 0.08733559 myalgo-run-1
51 0 AP891127-0176  68 0.08733559 myalgo-run-1
51 0 AP891004-0186  69 0.086821884 myalgo-run-1
51 0 AP891109-0180  70 0.086821884 myalgo-run-1
51 0 AP890425-0098  71 0.0862901 myalgo-run-1
51 0 AP890712-0120  72 0.08623278 myalgo-run-1
51 0 AP890208-0182  73 0.085399315 myalgo-run-1
51 0 AP890925-0008  74 0.08520913 myalgo-run-1
51 0 AP891208-0174  75 0.08441016 myalgo-run-1
51 0 AP891008-0014  76 0.08282722 myalgo-run-1
51 0 AP890108-0032  77 0.082783476 myalgo-run-1
51 0 AP890310-0316  78 0.082783476 myalgo-run-1
51 0 AP890729-0071  79 0.082783476 myalgo-run-1
51 0 AP891211-0325  80 0.08229656 myalgo-run-1
51 0 AP890127-0169  81 0.080866285 myalgo-run-1
51 0 AP890201-0258  82 0.080866285 myalgo-run-1
51 0 AP890422-0071  83 0.080866285 myalgo-run-1
51 0 AP890503-0309  84 0.080866285 myalgo-run-1
