51 0 AP890503-0279  1 0.26781082 run-1
51 0 AP891126-0082  2 0.26781082 run-1
51 0 AP891010-0258  3 0.21424866 run-1
51 0 AP890908-0122  4 0.21424866 run-1
51 0 AP890913-0264  5 0.18597974 run-1
51 0 AP890608-0253  6 0.18597974 run-1
51 0 AP890216-0288  7 0.18597974 run-1
51 0 AP890629-0275  8 0.18597974 run-1
51 0 AP891215-0260  9 0.14717062 run-1
51 0 AP890817-0225  10 0.14580812 run-1
51 0 AP890216-0167  11 0.14283244 run-1
51 0 AP891117-0213  12 0.12051487 run-1
51 0 AP890328-0202  13 0.11902703 run-1
51 0 AP890404-0263  14 0.111587845 run-1
51 0 AP890209-0234  15 0.111587845 run-1
51 0 AP890721-0245  16 0.11037797 run-1
51 0 AP891214-0204  17 0.10935609 run-1
51 0 AP890731-0272  18 0.10712433 run-1
51 0 AP891011-0255  19 0.10712433 run-1
51 0 AP890620-0248  20 0.10712433 run-1
51 0 AP890630-0056  21 0.10712433 run-1
51 0 AP890506-0013  22 0.09859282 run-1
51 0 AP890724-0259  23 0.095221624 run-1
51 0 AP890104-0259  24 0.09298987 run-1
51 0 AP891219-0249  25 0.091981634 run-1
51 0 AP891127-0256  26 0.09113007 run-1
51 0 AP890712-0120  27 0.08623278 run-1
51 0 AP890729-0071  28 0.082783476 run-1
51 0 AP890310-0316  29 0.082783476 run-1
51 0 AP890108-0032  30 0.082783476 run-1
51 0 AP890329-0221  31 0.074391894 run-1
51 0 AP891003-0130  32 0.074391894 run-1
51 0 AP890106-0255  33 0.074391894 run-1
51 0 AP890816-0062  34 0.074391894 run-1
51 0 AP891221-0216  35 0.07358531 run-1
51 0 AP890523-0235  36 0.07358531 run-1
51 0 AP890516-0165  37 0.07358531 run-1
51 0 AP890817-0223  38 0.07290406 run-1
51 0 AP891211-0325  39 0.07290406 run-1
51 0 AP890426-0260  40 0.07290406 run-1
51 0 AP890418-0313  41 0.07290406 run-1
51 0 AP890419-0228  42 0.07290406 run-1
51 0 AP890601-0339  43 0.07290406 run-1
51 0 AP890920-0246  44 0.07290406 run-1
51 0 AP890410-0121  45 0.072435535 run-1
51 0 AP891011-0163  46 0.072435535 run-1
51 0 AP891221-0274  47 0.07141622 run-1
51 0 AP891126-0084  48 0.07141622 run-1
51 0 AP890428-0090  49 0.07042344 run-1
51 0 AP890707-0209  50 0.07042344 run-1
51 0 AP891117-0214  51 0.066952705 run-1
51 0 AP890816-0187  52 0.064674586 run-1
51 0 AP891130-0010  53 0.062087607 run-1
51 0 AP891208-0192  54 0.062087607 run-1
51 0 AP890503-0044  55 0.062087607 run-1
51 0 AP890607-0014  56 0.062087607 run-1
51 0 AP890523-0040  57 0.057488523 run-1
